"","DonorID","Period","Regions","Sex","`Age (Numeric)`","RIN","pH","`PMI (hours)`","`Dissection Score`","`Proportion of Neurons (MultiBrain)`","`Proportion of Astrocytes (MultiBrain)`","`Proportion of Oligodendrocytes (MultiBrain)`","`Proportion of Endothelia (MultiBrain)`","Residuals"
"ENSG00000073712",0.186264184592782,0.0948316735874865,0.00924298419066639,5.87513846584032e-10,0.0362152801995802,0.000190630046685285,0.0108918516697252,0.000389213352598562,0.000162563793391802,0.353591446403649,0.0230821083678792,0.0281828301627195,0.0622523191098838,0.194702913935439
"ENSG00000168769",0.082101857902853,0.726031944960696,0.00314192889617864,4.14925900273593e-10,0.00169344051051965,0.000206478048788048,1.98453460965491e-05,0.0026942454653249,2.92582423793997e-05,0.0241987428130313,0.00573092510367165,0.00114677651762314,0.0250733785773362,0.127931177200576
"ENSG00000100664",0.392661284747186,0,0.00228096152334295,9.27764963169277e-10,0.00396130575794391,3.75370625247225e-05,0.00665935004579597,0.00518762438859301,0.000139139262912163,0.167405690341498,0.100697434079731,0.0595798671134524,0.0562790038743769,0.205110800874877
"ENSG00000120616",0.0205448962832644,0.643288029390378,0.215383308140514,5.78981458416119e-13,1.27756837387081e-05,3.19870235417091e-05,5.54955977444451e-05,0.000109524887050449,3.96770470015222e-06,0.0288671873008749,0.0100869432907906,0.00638956899764718,0.0109124456336464,0.0643138700655301
"ENSG00000133519",0.265387631250315,0.506746524240419,0,4.54219039557823e-12,3.61418765784623e-05,2.6986965941154e-05,0.000930618664614132,0.00169103286648576,0.000109203467791714,0.0494596775158589,0.0276482358278966,0.00679015528765046,0.00374335943648752,0.137430432595419
"ENSG00000177770",0.349723328259075,8.57411589474602e-12,0.0102616624576179,1.14835950331837e-10,0.00782575232134289,0.00164183747886947,0.0346790148346212,0.0317941096939092,0.00837847612993084,0.00667837179507386,0.164184480727365,0.147103150116126,0.0173862124621373,0.220343603600521
"ENSG00000105520",0.171644714982668,0,0.0990278014978141,2.13894736097936e-17,0.00670877511622383,0.000166505108505736,0.000138579706325091,0.000965040055266932,1.61621841316602e-05,0.244802030741624,0.0862837860395236,0.041027001494611,0.0385389403284782,0.310680662744828
"ENSG00000088305",0.173978936843068,0.524927644388393,0.107579698333458,7.38026071674231e-11,7.02977018288694e-06,8.63799793378528e-07,3.03752461398661e-05,6.03108484694947e-05,9.6137455680516e-06,0.0578246469802684,0.0217053620464736,0.0145401095765658,0.0118541367962151,0.0874812715516014
"ENSG00000175063",0.136371706867653,0.0347516805086255,0.0276482446027527,1.06794590977019e-09,7.59625697126349e-05,0.000188700416477826,7.80437807805989e-08,0.000911192199903708,1.65178189646174e-07,0.326085566525799,0.161666505458,0.114637272664948,0.0081045191508514,0.189558404745359
"ENSG00000196975",0.0698925317879037,3.23690483890567e-10,0.013828477079599,1.01937256904229e-09,0.0314675822661348,0.000206550966998785,0.00489479553141564,0.0243546279005289,0.000283536058503122,0.190730791468797,0.183346018154434,0.130999441338864,0.149619703217639,0.200375942886119
