"","Period","`Mito Ratio`","Regions","RIN","`Age (Numeric)`","`Mapping Rate`","`rRNA ratio`","Diagnosis","`Total N Reads`","Sex","Residuals"
"ENSG00000228794",0.0444626645494315,0.601653845122878,0.0934469430419286,0.000101376007675644,0.000696336801868594,2.43053595328403e-05,0.00501667152364677,3.77107606732447e-14,2.54747620060716e-06,0.000355132107724506,0.254240178009075
"ENSG00000225880",0.38252729500571,0.260629622931847,0,0.0101093852101557,0.0110841280804441,4.01549534115998e-06,0.000765206760172901,0.00435530053971231,0.000854486039551185,0.000198122319778447,0.329472437617288
"ENSG00000188976",0.0480239922317202,0.608263573719165,0.0439896230151832,0.0100941668662812,0.00254591569918968,0.0252962762806922,0.0226124623166038,0.00700678149157846,0.00027814345762649,0,0.23188906492196
"ENSG00000187961",0.667699599579667,0.109845080964,0.0302844929315423,0.00802868310852632,0.0112086496372604,0.0112760771704381,0.00357606801550637,5.48998135700906e-13,0.00024302065768653,0,0.157838327934824
"ENSG00000188290",0.355012082135932,0.12580595556718,0,0.000976387739327221,0.126277111304235,0.0434042184706988,0.00155830631169146,0.0072038747201925,0.00182433509788244,0,0.337937728652861
"ENSG00000187608",0.500813573970245,0.0316119340879926,0.00429924560975581,0.00440912101488625,0.0374073483743987,0.0192573795287306,0.000647456098572715,0.00197410398143328,0.00024981886260914,0,0.399330018471376
"ENSG00000188157",0.028970722935719,0.272631424095564,0.0609329073413051,0.0494648402755728,0.101045355721448,0.0684632281302898,0.00364968646116928,0.00329043334042845,0.00129974027241739,0,0.410251661426087
"ENSG00000217801",0.0520979626788292,0.222488580502472,0.202529220901191,0.010026726782112,0.0176025136057744,0.00118164550286115,1.42767482575323e-05,0.0132126608940341,0.00218512213354562,0,0.478661290250923
"ENSG00000131591",0.166166774001493,0.310766354108792,0,0.087836065739379,0.0105439021463554,0.0517706454673708,0.00416369820391821,0.00192034018653694,0.00430757795338386,0,0.36252464219277
"ENSG00000078808",0.0484808941960839,0.556284562279262,0.0380268070216606,0.0290700642426422,0.000740952011132269,0.0491116448350757,0.00285264769407572,0.00270680838678268,0.00214686756969742,0,0.270578751763587
"ENSG00000176022",0.467531116242255,0.299345199245571,0.00318299125517272,0.000170483745095645,0.0536126656458343,0.00251342481197972,0.00152704381791982,0.0108595113007328,8.29446636270919e-08,0,0.161257480990775
"ENSG00000160087",0.0945168562050497,0.65403687892864,0.0126665951718455,0.0195350932456319,0.00862769053380712,0.0377951410783336,1.99655664238472e-05,0,0.000973582781814147,0.000724843694303974,0.171103352794151
"ENSG00000230415",1.18988768612967e-10,0.468664962305515,0.00589129500875279,0.0233505542228146,0.00253291090219344,0.0150645282288808,0.00373011414465508,1.38700809542134e-11,0.000132871831493764,0,0.480632763222836
"ENSG00000162572",0,0.460746797420584,0,0.0534004450216782,0.00222801800600553,0.0421256894576869,0.00818657324629028,0,0.000844566551013102,0,0.432467910296742
"ENSG00000131584",0.00690839840083244,0.42645635588899,0.0133400188167908,0.0738967710097714,0.0276820568398605,0.0552281266685998,0.00302812309032516,0.00303768979892826,0.000349704854941529,0,0.39007275463096
"ENSG00000169972",0.0928984403479616,0.382633872867219,0.00957626032718043,0.00461395668374214,0.0408595739160177,0.0493233967211425,0.00162489284868856,0.011925976501481,0.000192560562356276,0,0.406351069224211
"ENSG00000127054",0.184795870808615,0.468224499696915,0,0.0216052931783482,0.00304417842880209,0.038118018898509,0.0116188396927303,2.61478997573887e-13,0.000883500549729206,0.000196012995141169,0.271513785750949
"ENSG00000240731",0.0459469941996904,0.414043316109658,0.0383075448165254,0.0857181532989667,0.00672306559762552,0.00279174571723428,0.00257253194756648,0.00784890844450574,0.00178179224244509,0,0.394265947625782
"ENSG00000224051",0.0949934398833411,0.248463511919833,0.0428416697997254,0.0151176292152059,0.0259382182094424,0.102097806640556,0.0165606996106835,0.0067456181954188,0.00214393980187878,0,0.445097466723915
"ENSG00000107404",0.0456228746791459,0.420614714348181,0.0244070369769175,0.0164102559321793,0.00168121774853714,0.0951199747811667,0.00974875534705087,0.00180727633329745,0.000420543335633302,0,0.384167350517891
"ENSG00000162576",0.432211937026062,0.0078388347137671,0.061167991532282,5.74936500553519e-05,0.00531137400352629,0.0325434172137304,0.0053686746293589,0,0.000304658331754131,0.0053273795153834,0.44986823938408
"ENSG00000175756",0.403591370852794,0.21545276407607,0.0963383410475321,0.0097205193830767,0.00343346531943131,0.0436033419050612,0.00158322645286771,0.0177402962231728,0.00310385786850108,0,0.205432816871493
"ENSG00000221978",0.564723235368901,0.311449659604379,0.00660565833197255,0.00413040645646707,0.000288366949661424,0.00296846752016196,0.000311425703798386,0,0.00103019070788212,0.00053245437394972,0.107960134982827
"ENSG00000224870",0.0892684456598391,0.493214063048013,0.00825700967370019,0.0205388744430522,0.00633074436234246,0.0425699051000097,0.00347954357228505,0.0134488968976364,0.000165300160381096,0,0.322727217082741
"ENSG00000242485",0.154799808480565,0.331079881629677,0.133194008854005,0.155079707099195,0.00983304889114418,0.00723936498245398,0.00067133365325797,0.0197356917902844,0.000725146486600896,0.000181077666157198,0.187460930466659
"ENSG00000272455",0.125056557922426,0.457202748132871,0.0153509207769149,0.00973991863688474,0.00408469461007488,0.00815592110617364,0.00328883296135005,0.00318734298063291,0.0005805682288705,0,0.373352494643801
"ENSG00000235098",0.555073117297041,0.0394969484945172,0.0792869565369017,0.0051854470430628,0.0377538140604063,0.00223335544713365,0.000716046809664565,4.20356846672122e-11,0.00114853282414602,0,0.279105781445091
"ENSG00000205116",0.360502714501191,0.0454823410806407,0.0383136072841683,0.000500162366380466,0.0227712295082062,0.042745594937215,0.000179422923624307,0.00432809726274372,1.16684491720349e-06,0.000755004998406983,0.484420658292506
"ENSG00000179403",0.448900089812547,0.0447289708831823,0,0.000670825357873084,0.0126785651739123,0.0244933100778683,0.0114103173799962,0.000295018253546949,0.000108926605409524,0.00548208169104207,0.451231894764622
"ENSG00000160072",0.190686864381855,0.471654745606931,0,0.00360749261366736,0.00205983235605277,0.0232084603308087,0.00349582541584938,2.55146235740354e-13,2.78998265533662e-05,4.28146914739756e-15,0.305258879468023
"ENSG00000197785",0.0145199588595225,0.497746431088572,0,0.000414889631608922,0.00513136392801953,0.0777329875452524,0.00666252263102679,0.00571705858706438,0.002033718565007,0.00207526457400363,0.387965804589923
"ENSG00000205090",0,0.454634623752275,0.0312248426063263,7.90944144260727e-05,0.0380343829196338,0.0249451119097688,0.000424734986814214,0.00320156329151712,0.00041270908600169,0.00373214524424315,0.443310791788994
"ENSG00000160075",0.0461859693249338,0.476474664525678,0.26811699216261,0.0130480071429457,0.00865731376218857,0.0161961855676722,0.00590895038127532,0.00105169329869452,0.000155191489156082,9.59487404683316e-05,0.164109083604377
"ENSG00000228594",0.21926275087537,0.0993437977529159,0.191562950820794,0.00897054058326203,0.00135883590466935,0.0188065156942921,0.00853419558263759,3.03546787709845e-10,0.00012417231211393,0,0.452036240170398
"ENSG00000272106",0.022452754057163,0.471584643023997,0.0350090143161248,0.0249705181202941,0.00719668167669742,0.00399404303505192,0.00696435887527228,0.0125408746160185,1.90584792067922e-05,0,0.415268053800174
"ENSG00000197530",0,0.476612374784972,0,0.0689933488037313,0.00389586756393936,0.0935046996924051,0.00488253039635662,0,0.00393463688971534,0,0.34817654186888
"ENSG00000248333",0,0.64697805413536,0,0.0428157040628557,0.0199169121890541,0.0498843376145481,0.00427542479470796,0.000797949571099293,0.00243982090886808,0,0.232891796723507
"ENSG00000189339",0.570685489049065,0.241638390248187,0,0.0135507186088063,1.54338110588584e-07,0.00390479806964622,0.000221816935058512,0.000448363880282716,1.59723329596586e-05,0.00147750237500825,0.168056794162876
"ENSG00000268575",0.584242470815844,0.112711211660614,0,0.0107853514628401,4.23726399972726e-05,0.00751067712703139,6.83188431280124e-05,0.00287059190683474,0.000155237607586937,0.00532347189177315,0.276290296044351
"ENSG00000215790",0.553096864948642,0.137322331695564,0,0.00534917352865797,0.000974505880045573,0.0116243022015713,6.12439575582447e-05,0.00172660914960894,0.000870566940666296,3.67033592430946e-17,0.288974401697686
"ENSG00000008130",0.0642358695083215,0.568299597499059,0,0.0228483578401567,0.025227162631132,0.0553735137077072,0.00335533141083537,8.05080957122521e-05,7.01698710811572e-05,0.00022910249961022,0.260280386936384
