"","SampleID","Proportion of Neurons (MultiBrain)","Proportion of Astrocytes (MultiBrain)","Proportion of Microglia (MultiBrain)","Proportion of Oligodendrocytes (MultiBrain)","Proportion of Endothelia (MultiBrain)"
"588","R4766",0.728334672718541,0.165171732627192,0,0.0858189292724749,0.0206746653817923
"589","R4767",0.551528355958888,0.170203130265261,0.0105709323402117,0.252729789083485,0.0149677923521538
"590","R4768",0.806587226242697,0.0935075966146951,0,0.0843505961588417,0.0155545809837661
"591","R4769",0.773106445477051,0.130989420568729,0,0.0959041339542197,0
"592","R4771",0.542597991676165,0.187034728522502,0,0.231931652524764,0.038435627276569
"593","R4774",0.517834160998781,0.311625642476304,0.021089127398806,0.0877190416187597,0.0617320275073493
"594","R4775",0.714193890624753,0.194867452010552,0,0.0614207366945015,0.0295179206701937
"595","R4777",0.419477520641654,0.234401703775664,0.0139322512688961,0.304259017718486,0.0279295065953001
"596","R4778",0.712523137424009,0.101947914850662,0,0.185528947725329,0
"597","R4780",0.132828541272855,0.441802994841525,0,0.319321283761611,0.106047180124009
"598","R4781",0.612148580677981,0.177702164875265,0,0.199581820147415,0.0105674342993385
"599","R4783",0.741643221410086,0.154821840038113,0,0.0745521319851034,0.0289828065666982
"600","R4784",0.486627463485233,0.282026083219139,0,0.198509424807841,0.0328370284877867
"601","R4785",0.561673459641907,0.11615464360405,0,0.302843053296581,0.0193288434574618
"602","R4786",0.308033916513487,0.210557784520065,0.0377889842535729,0.235897464421381,0.207721850291494
"603","R4787",0.681234265953267,0.192854178587671,0,0.0927902293857886,0.0331213260732731
"604","R4788",0.639849957994838,0.197181469874804,0.00187310496962091,0.126318055227118,0.0347774119336189
"605","R4793",0.446921650587762,0.237086393018217,0,0.283729793394201,0.0322621629998195
"606","R4795",0.44281065214113,0.133161458424298,0.0261611743417009,0.270756816228004,0.127109898864868
"607","R4797",0.467279397361596,0.208882926645171,0.00770330061782423,0.251680046835107,0.0644543285403018
"608","R4798",0.586272526222756,0.223179018768615,0.0191565142161694,0.160588559941934,0.0108033808505249
"609","R4799",0.580847798705237,0.135563677919366,0,0.260003689764707,0.0235848336106898
"610","R4800",0.253280481231812,0.0896473008694251,0,0.657072217898763,0
"611","R4801",0.696065583572594,0.130757590596813,0,0.166308723859791,0.00686810197080255
"612","R4802",0.533936595956043,0.193791466231124,0.00935834404003567,0.197678034955533,0.0652355588172645
"613","R4805",0.486813346803601,0.291473504627092,0,0.167156554196668,0.0545565943726378
"614","R4806",0.878494704479254,0.0390634671327945,0,0.0567886888279975,0.025653139559954
"615","R4809",0.490356885138641,0.20592965136982,0.010278056066895,0.250101837663459,0.0433335697611851
"616","R4810",0.379776849935433,0.225091956064497,0.0489771521662506,0.249674875355947,0.0964791664778723
"617","R4811",0.601597691856426,0.268884620182432,0,0.127265113227332,0.00225257473380927
"618","R4812",0.550779855294227,0.186455473341869,0.026729365758723,0.182157717028313,0.0538775885768671
"619","R4813",0.645727444197185,0.216403836341215,0,0.11347364522429,0.0243950742373105
"620","R4815",0.588438951050483,0.151401518477191,0,0.229041574408298,0.0311179560640274
"621","R4817",0.348843280262595,0.191868487320573,0,0.369504767630937,0.0897834647858944
"622","R4818",0.657652479795761,0.149422547857733,0,0.155233599489847,0.0376913728566597
"623","R4819",0.633301122758038,0.11813810530198,0,0.230414006938545,0.0181467650014378
"624","R4820",0.107939849896561,0.202086130126804,0.0744523955390892,0.322153230182647,0.293368394254898
"625","R4821",0.597239048221121,0.120147460821616,0.00803931472213997,0.230525151962811,0.0440490242723119
"626","R4822",0.39034842082421,0.226801867513664,0,0.282924783240112,0.0999249284220148
"627","R4824",0.573366356997907,0.202450528507877,0.0214493100817562,0.171152882996519,0.0315809214159404
"628","R4825",0.611017255015681,0.173558062058983,0.00701494917798955,0.150284245232882,0.0581254885144649
"629","R4826",0.469569577753825,0.183288853119349,0,0.290418824540936,0.0567227445858899
"630","R4827",0.454123720441249,0.22460774271257,0,0.296646709504746,0.0246218273414357
"631","R4828",0.561311989563318,0.148784300163457,0,0.265054439399967,0.0248492708732583
