"Structure","Cell Type","DonorID","Regions","Structure Acroynm","Age Interval","Major Cell Type","nCount","nFeature"
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",7941,3202
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",6767,3032
"Cer","Cer-ExN-3","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",6333,2643
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",7816,3035
"Cer","Cer-IP","611_donorID","Cerebellum","CB","13-15pcw","Intermediate progenitor",4852,2465
"Cer","Cer-ExN-1","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",5248,2532
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",7397,3126
"Cer","Cer-InN-5","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",12409,4394
"Cer","Cer-IP","611_donorID","Cerebellum","CB","13-15pcw","Intermediate progenitor",4553,2535
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",10009,4188
"Cer","Cer-RG-2","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",4314,2518
"Cer","Cer-OPC","611_donorID","Cerebellum","CB","13-15pcw","OPC",10487,3674
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",5394,2673
"Cer","Cer-OPC","611_donorID","Cerebellum","CB","13-15pcw","OPC",8398,3310
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",8199,3454
"Cer","Cer-InN-5","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",5674,2664
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",14050,4495
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",7039,2990
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",6543,2971
"Cer","Cer-InN-5","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",7131,3174
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",5180,2741
"Cer","Cer-InN-4","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",3891,2141
"Cer","Cer-InN-3","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",11620,4181
"Cer","Cer-ExN-4","611_donorID","Cerebellum","CB","13-15pcw","Excitatory Neurons",7671,3200
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",10003,3893
"Cer","Cer-RG-1","611_donorID","Cerebellum","CB","13-15pcw","Radial glia",5538,2907
"Cer","Cer-InN-1","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",6332,2931
"Cer","Cer-InN-3","611_donorID","Cerebellum","CB","13-15pcw","Inhibitory Neurons",6635,3126
