Mixture	Neurons	Astrocytes	Oligodendrocytes	Microglia	Endothelia	P-value	Correlation	RMSE
ERR1473088	0.713769754678762	0	0.0130651389148953	0.0351618222559132	0.238003284150429	9999	0.423696533764321	1.00314789454737
ERR1473089	0.647832465290014	0	0.0104702635950187	0.0545626766380237	0.287134594476944	9999	0.408422707978301	1.01043428711425
ERR1473090	0.629431467323388	0	0.0165622065691117	0.0497250238266252	0.304281302280875	9999	0.447246732517021	0.976382803906417
ERR1473091	0.659823959965291	0	0.0204766956386373	0.0760713408575057	0.243628003538566	9999	0.451191702180333	0.973063664264073
ERR1473092	0.636905348043538	0	0.0199659236016414	0.0890684686120582	0.254060259742763	9999	0.438294407372973	0.982204439051072
ERR1473093	0.536276636013791	0	0.0564969538306767	0.0598554008144477	0.347371009341085	9999	0.452783251425429	0.964983243147206
ERR1473094	0.514937476190704	0	0.0836655114073272	0.0478231631549951	0.353573849246974	9999	0.456427594345063	0.960142456543789
ERR1473095	0.617646225903646	0	0.0218774220727672	0.0614723321207892	0.299004019902797	9999	0.427600253980376	0.991441139375051
ERR1473096	0.573277966726448	0	0.0228432199132492	0.111420852676215	0.292457960684088	9999	0.457950924813422	0.961563874473534
ERR1473097	0.640218997597483	0	0.0111439914639469	0.0749618809455625	0.273675129993008	9999	0.404063713096404	1.01248069490319
ERR1473098	0.75415385469608	0	0	0.0189634700426612	0.226882675261259	9999	0.463547509895112	0.973920399162614
ERR1473099	0.766942938953468	0	0.00903463793617293	0.0264983881773519	0.197524034933007	9999	0.433734985938455	1.00055076920197
ERR1473100	0.684554493815856	0	0.0049537441866908	0.0406606322891377	0.269831129708316	9999	0.453879272953677	0.975222302616778
ERR1473101	0.0920124921796598	0.0299574276937086	0	0.0664069968542394	0.811623083272392	9999	0.612474109962336	0.856819455478151
ERR1473102	0.712782707377444	0	0.0176793589036631	0.0548539051927571	0.214684028526135	9999	0.493029809387347	0.941053211324729
ERR1473103	0.649259072414877	0.0137082500731593	0.0180573236703774	0.0420301993229571	0.276945154518629	9999	0.456211757156623	0.968597227633749
ERR1473104	0.687505755981095	0	0.0127025139939715	0.0572497649175444	0.242541965107389	9999	0.461035909845537	0.967790893964009
ERR1473105	0.659377212167122	0	0.00767342354987405	0.0257333666836985	0.307215997599305	9999	0.491528025833773	0.940976165907086
ERR1473106	0.684148297160829	0	0.018858874075543	0.0671646722084257	0.229828156555202	9999	0.456438710716935	0.970706736167874
ERR1473107	0.657669768969756	0.0223718053995981	0.0222409379181737	0.0470182989272741	0.250699188785198	9999	0.460755266189992	0.963848874273009
ERR1473108	0.727495694490899	0	0	0.032322856854654	0.240181448654447	9999	0.515313818717634	0.923820906175249
