"","DonorID","Period","Regions","`Age (Numeric)`","`PMI (hours)`","pH","RIN","`Dissection Score`","Sex","Residuals"
"ENSG00000003436",0.0821519425421166,0.433754742039868,0.0868915619657442,0.0238044553462258,0.000756549896328518,0.00225919550328758,0.00576532734967573,0.00108759724119246,0.0215511708220448,0.341977457293517
"ENSG00000003509",0.375364402305924,0,0.0349154626985502,0.0270329717609963,0.106334788616206,1.79965012407276e-05,0.0224509283913419,8.138762103437e-05,4.08979396452382e-12,0.433802062100617
"ENSG00000003756",0.264250624608894,0.300036799569538,0.130391208824037,0.107446511160945,0.00380897759013579,0.000815491045706321,0.00459896908312071,0.000404511738663868,3.53256778034275e-07,0.188246553122181
"ENSG00000003987",0.450564964889525,3.08547516211206e-22,0,0.112184902473143,0.0189699750717514,0.0398767807383649,0.0872497155671704,0.00515426950132095,1.1652794794911e-20,0.285999391758724
"ENSG00000003989",0.355530159919291,0,0.0791958740887674,0.0296782780879512,0.0579509837636548,0.0891512074899958,0.0293837469092235,0.00208095946019618,7.38771225082577e-11,0.357028790207043
"ENSG00000004059",0.447091293775924,4.86346280569779e-12,0.0515861880986826,0.00428748688801321,0.0509442492501545,0.00136254760988338,0.0201032741125994,0.00103403473925985,0,0.423590925520619
"ENSG00000004139",0.335315323996462,0.264161854657532,0.133741552269359,0.00453789618127864,0.125714357551372,0.0003944015217668,0.00538456090009122,0.000109977402833527,0,0.130640075519305
"ENSG00000004142",0.53936933407092,2.01372742579854e-13,0.0102901382117497,0.00590176988560673,0.0003306299183975,0.00282323666308908,2.13870102495465e-06,0.00147435027221576,0,0.439808402276795
"ENSG00000004399",0.237900391053208,0,0.328272831517331,1.03655034985182e-07,0.0110432363427443,0.00246528218402621,0.00690492300284434,0.000559661817012133,1.35247076766598e-13,0.412853570427664
"ENSG00000004455",0.39076519848974,0,0.174463796558066,0.00120427228723401,0.0396205011675519,0.0293215509681396,0.0152158109471228,0.000615827894492054,7.67407669835046e-13,0.348793041686886
"ENSG00000004468",0.230543623209615,0.198752098284392,0.186864202388472,0.0118725092346974,0.0342413242952687,0.0275008220110487,6.91972492054692e-05,0.000719949723815295,9.478392890877e-11,0.309436273508701
"ENSG00000004478",0.299411376805464,0.0378379791951006,0.33548300991357,0.0262608727951857,0.00803784670110175,0.0274659942333806,0.0312860123031816,0.00100376598394754,1.64444086850625e-11,0.233213142052624
"ENSG00000004487",0.103743639172702,0.732781844283502,0.0176071268608308,0.000901199568006299,0.0625191997555576,0.0029673637070207,0.0110478464268823,0.000489894636087696,0.0198013434562091,0.0481405421332015
"ENSG00000004534",0.210597504636604,0.380358524180364,0.13350567301161,0.0283984473698185,0.000247406523456266,0.00666359108930269,0.000642283756975156,0.000655292564858828,0.0119676059025131,0.226963670964497
"ENSG00000004660",0.171682789518305,0.230857541208047,0.0721904200182898,0.281761619703295,0.0228734458476573,0.0261895054481471,0.0472325343055731,0.000199413438253003,0,0.147012730512433
"ENSG00000004700",0.264905405831707,0.463771714470445,0.0393833708350155,0.00028553306794186,0.000299937595464247,0.00341743777515474,0.00790138054131884,0.00151090453070782,0.00744444265785681,0.211079872694388
"ENSG00000004766",0.473690151747625,0,0.053666606889152,0.0345803011860577,0.00281825843542965,0.173554951096687,0.0301434069161971,0.00522350206960247,0,0.22632282165925
"ENSG00000004776",0.158598565222471,0.394010105670511,0.165992869000917,0.00249358647604557,0.049314662598177,0.0407749350651129,0.0121527478302158,0.00155762781735125,3.26120799248868e-12,0.175104900315938
"ENSG00000004777",0.246773152822769,0.208854978296582,0.133319182957574,0.111671071506475,0.0736848653364913,0.00903722355004954,0.00156240391136454,5.76973879329642e-05,0.0129041565087108,0.202135267722052
"ENSG00000004779",0.430505613831844,3.21984006989445e-12,0.0214846061355996,0.000402093191764697,0.222900590756714,0.0305905824964935,0.00124350435690906,0.00306659987690346,0,0.289806409350552
"ENSG00000004799",0.346671202725683,0.0706258110781086,0.137768798593797,0.00078127251910965,0.098412470052237,0.0305170312248899,0.0455148135735119,0.00209150189972112,0.0326955110433997,0.234921587289542
