"","DonorID","`Proportion of Neurons (MultiBrain)`","Regions","`Proportion of Astrocytes (MultiBrain)`","`Proportion of Endothelia (MultiBrain)`","Period","`Proportion of Oligodendrocytes (MultiBrain)`","`PMI (hours)`","`Age (Numeric)`","RIN","pH","`Dissection Score`","Sex","Residuals"
"ENSG00000001497",0.118595455438853,0.166341033142919,0.158413175285706,0.0597444397471899,0.0235172445722287,0.28079613431152,0.00263049397783034,0.000735150101453553,0.0502551762871559,0.000101036649433962,0.00218917786959714,0.000124162711535288,2.94227748066951e-10,0.136557319610349
"ENSG00000001561",0.180588366690337,0.00898255312567076,0.0638690530705914,0.0269258988624698,0.0841696559247387,0.120793263628224,0.115488882502184,0.126761749941179,0.0626010311598752,0.00109480294983071,0.0135172944281994,0.000183523295594712,2.66345161705086e-11,0.195023924394471
"ENSG00000001617",0.122838753570761,0.0308889189774114,0.00511999654585484,0.0202702793531144,0.00356917614646444,0.386450402173032,0.00017777673758509,0.0582086716902618,0.0154374408977822,7.68225856592255e-08,0.00103352583948715,0.000585328257339911,3.8197922309531e-09,0.355419649168527
"ENSG00000001629",0.255693855296709,0.0703790688834205,0.0240346465593664,0.00140925026748538,0.124168861270192,0.318784520325245,0.00240211918198603,0.0033176205632906,0.00752081680957012,0.00113103620458955,0.0172016794182031,0.000216665433950779,2.5468966145925e-10,0.173739859531302
"ENSG00000001630",0.367487421435097,0.0710764848468227,0.118065799682087,0.0557243585088955,0.00799172963687285,0,0.00413106173907507,0.0116069030805214,0.0999520415736664,0.00112398334339411,0.00759321789177617,3.69459379164123e-05,6.11374559449156e-10,0.255210051712501
"ENSG00000001631",0.291307545065083,0.185749650153745,0,0.0641886831867251,0.0443815662412633,2.91301368461882e-11,0.040240973687999,0.000111867707576902,0.00534252915356006,0.00131106282980227,0.000277470791777919,2.1114445799963e-06,6.36020984825676e-10,0.367086539072736
"ENSG00000002016",0.15871371239446,0.0988194348651454,0.150911906406927,0.0280600653486286,0.0338960842944953,0.318102426774373,0.0147513000787572,4.01038262006807e-05,0.00448872152116189,0.000198384122229164,0.00122445355588596,2.63003160719557e-05,1.24398856385027e-10,0.190767106371266
"ENSG00000002330",0.161541331641846,0.129500723676906,0.0424591382411947,0.0416363781975816,0.0542823704968046,0.3211445116394,0.0222416373330237,3.92911812118528e-06,0.000802216767515404,3.9955786804865e-05,2.6557613230531e-05,5.83452020094502e-05,1.43698265202136e-09,0.22626290284858
"ENSG00000002549",0.341060967948322,0.30432727268003,0.0457051055229417,0.0272007228519577,0.0133930584421283,0.0545362674066132,0.029145739929014,0.0290333677190699,0.00227114454228097,0.000475993824123493,0.00309817461728912,0.000218303033673991,5.94537589174479e-10,0.149533880888018
"ENSG00000002587",0.03000190391566,0.00136741021167867,0.321847341355088,0.0928180027756636,0.0294342586018074,0.18981711401655,0.0440523432447232,0.00392900495010399,0.057461099077933,0.00717438261801172,0.00078447098860467,0.00114623512486346,9.76118079472981e-12,0.220166433109551
"ENSG00000002746",0.0565902902547869,0.123065934877139,0.0708903456750054,0.204860284930279,0.153889814096105,0,0.131507222542902,0.0368894281674604,0.0136959408651856,0.00760170681770198,0.00108384219412229,0.000108701703169752,1.62662060696175e-12,0.199816487874515
"ENSG00000002822",0.2201655646338,0.203242629129803,0.00118895840728938,0.0585843325813775,0.0894332374817781,0,0.0566657240114113,0.0085718924682022,0.00444328614485935,0.00382845802689607,0.000167459784851147,4.01592924052728e-06,8.52946270777621e-12,0.353704441391962
"ENSG00000002834",0.127381207701913,0.200283417906469,0.233017659565176,0.0442206709355338,0.0328627493638803,0.15494667437923,1.09055504995119e-05,0.0457143106500111,0.0265358967008687,0.000193028334777889,0.00011444082472069,0.000206865970877726,7.28209510389207e-11,0.134512172043221
"ENSG00000002919",0.468559312230073,0.0186976099691454,0,0.0011718182223401,0.0498209223281575,0.227062666057138,0.000630358140761366,0.00977532655898606,0.00506558606674529,0.000509714052096673,0.000101732755587093,0.000395115092623892,1.89634465166217e-12,0.218209838524449
"ENSG00000002933",0.129282780508582,0.0699944589326924,0.0368631773620244,0.298169766166315,0.0568839212780555,0,0.104288061775678,0.0729762583388116,0.0564100093016081,0.0084712833387076,0.00168060024065272,8.32400493275613e-06,7.51857594515952e-10,0.164971358000083
