"","Regions","DonorID","Sequencing Batch","Age Interval","`Intronic Rate`","`Mapping Rate`","Hemisphere","`PMI (hours)`","`Total N Reads`","Sex","Residuals"
"ENSG00000272004",0.197293847694654,0.570394344739884,0.0285175810334472,3.98415107227634e-10,0.00193936972691537,0.0815635507817069,0.00251791632932054,1.46772049966943e-05,0.000188699860937795,0.00371620081806177,0.11385381141166
"ENSG00000269737",0.0373817316808561,0.220470432632079,0.105015942744336,0.0068420863051323,0.40632996851787,0.101936876192765,0,0.00130158641573531,0.00143606886668538,2.57747984078121e-13,0.119285306644282
"ENSG00000189339",0.323554618423215,0.26665826576847,0.104490748398912,5.46687228834955e-09,0.0238305705199362,0.133738740821527,3.81160824769908e-11,0.00150554525487619,0.000593506744908973,0.00637944618599919,0.139248552377167
"ENSG00000215914",0.0524625252057949,0.440714609490279,0.101654687413605,0.0124499800455607,0.00985329317480296,0.0358008049062192,0.00384578310348816,0.00246077123936088,0.000893285992208821,0,0.339864259428681
"ENSG00000008128",0.0737359898006814,0.30497315819038,0.224580752486691,0.0122545575732399,0.125729533484485,0.06356790599582,3.84787478464248e-14,0.00620950005105654,1.2176066075583e-05,0.0530759713711988,0.135860454980333
"ENSG00000227775",0.18509861265913,0.225235417271763,0.105188672086125,0.0150673458686992,0.09018528916701,0.115044584885569,2.76163181555557e-10,0.0033743130614968,0.000838986705969772,0.160884635603499,0.0990821424145746
"ENSG00000268575",0.101555585340843,0.297123767655584,0.189568020687395,0.0117235234172213,0.139107424522448,0.0743647394299895,2.2095383011918e-11,0.00390918276726732,0.000133426105402562,0.065825438105217,0.116688891946537
"ENSG00000215790",0.209584921076165,0.188682793539194,0.184773745029112,0.0189202454182582,0.0913582924663992,0.0990595460508973,0,0.00830835279567144,0.00217577744893293,0.077129764688592,0.120006561486778
"ENSG00000008130",0.0323774295394743,0.0699517502482994,0.649801654484637,0.0462958665081692,0.0177108927152978,0.0109728669353364,0,0.00630465937050442,0.000355087508166398,0.015575205592254,0.15065458709786
"ENSG00000078369",0.591076476361054,0.0630116398858356,0.01685753259431,0.0424523258049619,0.0109201853604317,0.0939241818091209,0,0.000287989143551707,0.00044838037992411,6.66219037417753e-13,0.181021288660144
"ENSG00000231050",0.0099728615436268,0.237237930466584,0.162225826052306,0.050229750664699,0.00066526620908445,0.00172871346450114,0.0611151126313884,0.00201807351355939,0.000981328804457536,0.096549133040402,0.377276003609391
"ENSG00000178821",0.104240716091085,0,0.115047601191867,0.206176580267087,0.016569086872256,0.00146131485064892,0.0231958517080227,0.00452665802439002,0.00486480118417413,1.33200656204533e-11,0.523917389797149
"ENSG00000142609",0.790979350750171,1.51688376224558e-12,0.0112554670916277,1.98110880583849e-13,1.05479502023073e-05,0.000266276710161671,0.000725558283107304,0.000435932726702187,0.00103516728212386,0.0171654835253217,0.178126215678867
"ENSG00000187730",0.172336685305113,0.0237114988474207,0.186536461360357,0.0599972106518058,0.0313543929382332,0.000565731236480218,3.14977174104143e-13,0.00528765409291339,0.00278531462881986,0,0.517425050938542
"ENSG00000271806",0.0897453004818925,0.120306695348963,0.223759177635317,0.200213990341112,0.0180049573628886,0.0677368496139517,0.0376471333728122,0.00783131071960122,0.00211935449675716,1.70221784918757e-11,0.232635230609682
"ENSG00000182873",0.13161959360876,0.0482369424746712,0.440588891893315,0.072260640265465,0.0935282606672366,0.0376063771750565,0.00189329710754928,0.000681854669244851,0.000225390131870804,0.000669322298582584,0.172689429708248
"ENSG00000067606",0.173183164874537,0.0979463247885679,0.241200183205975,0.223474250658135,0.0128497394434795,0.0154846491220674,0.035058772981533,0.0034500689872656,0.000520278477160835,7.59452072265185e-12,0.196832567453684
"ENSG00000162585",0.000388719100554513,0.105832484738157,0.560537116918489,0.142946161365292,3.02425601731893e-07,0.00602651670191619,0.0145560074493732,0.000552334598407537,2.29999092091882e-05,3.5202802308584e-13,0.169137356792648
"ENSG00000157933",0.332164637649392,0.0974341573759853,0.133968847385609,0.0529053004577965,0.016334503557978,0.0900835208356167,0.00669093061245474,0.00378431950885407,0.000637002231245946,0.0886743967872225,0.177322383597846
"ENSG00000272161",0.104097383845632,0.106043980326476,0.152859424532877,0.0360969889731286,0.026092687658774,0.000498126858601809,0.00182002090515207,0.00214718467454793,0.004205251831545,1.58415791566668e-11,0.566138950377423
"ENSG00000269896",0.386094177680602,0.0421864198657362,0.147677550057699,0.137693068787415,0.0418834680598526,0.00807170705705871,1.327799291303e-10,0.00697714972596798,0.00306502312229379,0.0645936094869488,0.161757826023646
"ENSG00000272420",0.084419681374059,0.232135251436944,0.058459831727819,0.0509784726049589,0.0515516556959171,0.0140282849707205,5.62269123303527e-13,0.00292268180666169,0.000497571904222308,0.125978630538268,0.379027937939867
