"","`rRNA ratio`","Regions","DonorID","`Exonic Rate`","Type of Batch","Hardy Scale","`Mapping Rate`","RIN","`PMI (hours)`","`Total N Reads`","Age Interval","Sex","Residuals"
"ENSG00000248527",0.0828110522989843,0.0280162342724156,0.66724643810139,0.000118677940253711,0.00261644887493052,0.0959482388435685,0.00269546396553649,0.000191808248404152,0.00988838525766703,1.16264746632951e-05,3.64816349686192e-06,1.1758212418518e-06,0.110450801737448
"ENSG00000198744",0.0505558510918891,0.0194550777115172,0.294586250144108,0.000159071831319939,0,0.00646310471407494,0.0148497012682489,0.00116343275632954,0.000976459693987608,0.00359699649837288,1.01188575850916e-11,2.9089292613266e-06,0.608191145350772
"ENSG00000228327",0.19891666675858,0.012631616451212,0.23490180224651,0.343086563421694,0.00799111256178596,0,0.00129783890485315,0.00115222291448612,0.00181165796545788,0.000713786426690915,4.86953844292416e-06,8.31488763250771e-08,0.197491779661411
"ENSG00000237491",0.116306701287566,0.497680238513287,0.0604481208067172,0.177244789911191,1.32374502792933e-11,0.00145255704752294,0.000219826113341291,0.00746969985357831,0.000688403743465878,3.29837654862454e-06,1.74273050051156e-06,7.93513892422859e-08,0.138484542251654
"ENSG00000230092",0.166407289627355,0.0230639580646337,0.095131209649406,0.223181576175925,3.21799207258653e-09,0,0.000217586264909646,0.0179445529073051,0.000267052226711198,0.000600287986319172,0.00843679159714514,3.95755604270657e-13,0.464749692281902
"ENSG00000177757",0.00288189350363076,0.300765282791618,0.0871909230292506,0.30082114304637,6.26230185301655e-08,0,0.000532911120656504,0.00173368428838512,4.48799376176892e-06,9.02282881014541e-06,7.44934663650793e-06,2.93116235844378e-06,0.306050208265504
"ENSG00000228794",0.353849929658937,0.493630579697259,0.0449390487404448,0.00169429934706386,0.00783042909389511,0.00164768585631669,0.00288974181583688,0.0138964292308658,0.000146681289903214,5.51726007108576e-05,2.93964014114118e-06,1.87358947486018e-07,0.0794168756696783
"ENSG00000225880",0.253047094778696,0.267676055183092,0.139795503375563,0.181454603516128,4.0214572276006e-11,0.0206950726231278,0.000571737535864705,7.53426436126721e-05,0.00739688005893158,1.23510912425481e-07,1.85759818093437e-07,5.40764506244669e-07,0.129286860209533
"ENSG00000223764",0.0948349882432731,0.56433190206821,0.0309585184549851,0.00232863684940621,0.0115798226617496,0,4.70371910396936e-06,0.00275288509088278,0.000557494498446129,2.85808605545636e-05,5.81184070798555e-11,0.0015743362408407,0.291048131254429
"ENSG00000187634",0.165171520009449,0.472182497603536,0.0252108501448683,0.00900082039079919,0.0114973756901678,0.00161877271281441,0.00158244345736305,0.00132787093148877,0.00141812314464533,4.00178838036109e-05,6.90547096713567e-06,1.80111430657097e-06,0.310941001445791
"ENSG00000188976",0.678517760272068,0.106304416754249,0.1099627442442,4.68165222126394e-05,2.54370038130236e-05,0.000724039169847067,0.00696354980622083,0.00205500222991059,0.000260666250468091,0.000114850314318241,6.72102555173785e-06,3.34284551287329e-07,0.0950176621225898
"ENSG00000187961",0.326859937170458,0.354125147396572,0.13546171557732,0.0504890157464728,0.031742529935766,0.00281705926573509,0.00671801820805642,0.000737094637623257,3.20441820096249e-05,0.000127287549604123,2.83885142267051e-06,4.41703146206897e-07,0.0908868697758146
